WigleWifi-1.4,appRelease=2.25,model=MI 6,release=7.1.1,device=sagit,display=NMF26X,board=msm8998,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
a0:4f:d4:3b:fb:a1,Banot,[WPA2-PSK-CCMP][ESS],2017-10-29 18:21:43,1,-45,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
74:da:38:14:47:f3,Achiatheking_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 18:21:43,6,-64,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
14:ae:db:45:44:95,Achiatheking,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 18:21:43,6,-76,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
14:ae:db:a0:df:a5,BEZEQINT-DFA1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 18:21:43,11,-80,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
14:ae:db:ce:a1:fd,BEZEQINT-A1F9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 18:21:43,6,-77,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
48:ee:0c:3b:4a:ef,Baruch1,[WPA2-PSK-CCMP][ESS],2017-10-29 18:21:43,1,-78,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,WIFI
42501_7211_3084803,Partner,UNKNOWN;il,2017-10-29 18:21:43,0,-113,32.10178256034851,35.20535588264465,663.60107421875,57.88800048828125,GSM
14:ae:db:45:44:95,Achiatheking,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 18:21:47,6,-69,32.10158583,35.20531145,657.68408203125,35.375999450683594,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-10-29 18:22:10,5,-78,32.10167851,35.20515792,681.877685546875,36.448001861572266,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-10-29 18:22:10,11,-86,32.10167851,35.20515792,681.877685546875,36.448001861572266,WIFI
34:0b:01:19:21:42,afikim-wifi,[ESS],2017-10-29 18:22:24,7,-79,32.10176110267639,35.20512521266937,683.5858154296875,57.88800048828125,WIFI
52:ee:0c:3b:4a:ec,Bezeq Free,[ESS],2017-10-29 18:23:14,1,-79,32.10192067,35.20510153,700.0872802734375,25.728000640869
